00OW               20241122                                                                                   
0601OWA0N       20250101000440100000005000 0000000030000764   
0601OWA0N       20250101000445100000005000 0000000030000769   
0601OWA0N       20250101000450100000005000 0000000030000776   
0601OWA0N       20250101000455100000005000 0000000030000785   
0601OWA0N       20250101000460100000005000 0000000030000789   
0601OWA0N       20250101000465100000005000 0000000030000798   
0601OWA0N       20250101000470100000005000 0000000030000804   
0601OWA0N       20250101000475100000005000 0000000030000810   
0601OWA0N       20250101000480100000005000 0000000030000817   
0601OWA0N       20250101000485100000005000 0000000030000823   
0601OWA0N       20250101000490100000005000 0000000030000830   
0601OWA0N       20250101000495100000005000 0000000030000838   
0601OWA0N       20250101000500100000005000 0000000030000844   
0601OWA0N       20250101000505100000005000 0000000030000851   
0601OWA0N       20250101000510100000005000 0000000030000859   
0601OWA0N       20250101000515100000005000 0000000030000864   
0601OWA0N       20250101000520100000005000 0000000030000871   
0601OWA0N       20250101000525100000005000 0000000030000878   
0601OWA0N       20250101000530100000005000 0000000030000886   
0601OWA0N       20250101000535100000005000 0000000030000891   
0601OWA0N       20250101000540100000005000 0000000030000898   
0601OWA0N       20250101000545100000005000 0000000030000904   
0601OWA0N       20250101000550100000005000 0000000030000909   
0601OWA0N       20250101000555100000005000 0000000030000915   
0601OWA0N       20250101000560100000005000 0000000030000919   
0601OWA0N       20250101000565100000005000 0000000030000923   
0601OWA0N       20250101000570100000005000 0000000030000928   
0601OWA0N       20250101000575100000005000 0000000030000933   
0601OWA0N       20250101000580100000005000 0000000030000937   
0601OWA0N       20250101000585100000005000 0000000030000941   
0601OWA0N       20250101000590100000005000 0000000030000945   
0601OWA0N       20250101000595100000005000 0000000030000949   
0601OWA0N       20250101000600100000005000 0000000030000956   
0601OWA0N       20250101000605100000005000 0000000030000960   
0601OWA0N       20250101000610100000005000 0000000030000963   
0601OWA0N       20250101000615100000005000 0000000030000967   
0601OWA0N       20250101000620100000005000 0000000030000970   
0601OWA0N       20250101000625100000005000 0000000030000975   
0601OWA0N       20250101000630100000005000 0000000030000979   
0601OWA0N       20250101000635100000005000 0000000030000982   
0601OWA0N       20250101000640100000005000 0000000030000985   
0601OWA0N       20250101000645100000005000 0000000030000988   
0601OWA0N       20250101000650100000005000 0000000030000993   
0601OWA0N       20250101000655100000005000 0000000030000996   
0601OWA0N       20250101000660100000005000 0000000030000999   
0601OWA0N       20250101000665100000005000 0000000030001004   
0601OWA0N       20250101000670100000005000 0000000030001007   
0601OWA0N       20250101000675100000005000 0000000030001011   
0601OWA0N       20250101000680100000005000 0000000030001014   
0601OWA0N       20250101000685100000005000 0000000030001017   
0601OWA0N       20250101000690100000005000 0000000030001019   
0601OWA0N       20250101000695100000005000 0000000030001024   
0601OWA0N       20250101000700100000005000 0000000030001026   
0601OWA0N       20250101000705100000005000 0000000030001029   
0601OWA0N       20250101000710100000005000 0000000030001032   
0601OWA0N       20250101000715100000005000 0000000030001034   
0601OWA0N       20250101000720100000005000 0000000030001037   
0601OWA0N       20250101000725100000005000 0000000030001039   
0601OWA0N       20250101000730100000005000 0000000030001042   
0601OWA0N       20250101000735100000005000 0000000030001045   
0601OWA0N       20250101000740100000005000 0000000030001048   
0601OWA0N       20250101000745100000005000 0000000030001050   
0601OWA0N       20250101000750100000005000 0000000030001052   
0601OWA0N       20250101000755100000005000 0000000030001055   
0601OWA0N       20250101000760100000005000 0000000030001057   
0601OWA0N       20250101000765100000005000 0000000030001059   
0601OWA0N       20250101000770100000005000 0000000030001061   
0601OWA0N       20250101000775100000005000 0000000030001065   
0601OWA0N       20250101000780100000005000 0000000030001067   
0601OWA0N       20250101000785100000005000 0000000030001070   
0601OWA0N       20250101000790100000005000 0000000030001073   
0601OWA0N       20250101000795100000005000 0000000030001075   
0601OWA0N       20250101000800100000005000 0000000030001078   
0601OWA0N       20250101000805100000005000 0000000030001080   
0601OWA0N       20250101000810100000005000 0000000030001082   
0601OWA0N       20250101000815100000005000 0000000030001084   
0601OWA0N       20250101000820100000005000 0000000030001088   
0601OWA0N       20250101000825100000005000 0000000030001091   
0601OWA0N       20250101000830100000005000 0000000030001094   
0601OWA0N       20250101000835100000005000 0000000030001099   
0601OWA0N       20250101000840100000005000 0000000030001101   
0601OWA0N       20250101000845100000005000 0000000030001104   
0601OWA0N       20250101000850100000005000 0000000030001109   
0601OWA0N       20250101000855100000005000 0000000030001111   
0601OWA0N       20250101000860100000005000 0000000030001114   
0601OWA0N       20250101000865100000005000 0000000030001118   
0601OWA0N       20250101000870100000005000 0000000030001121   
0601OWA0N       20250101000875100000005000 0000000030001125   
0601OWA0N       20250101000880100000005000 0000000030001127   
0601OWA0N       20250101000885100000005000 0000000030001131   
0601OWA0N       20250101000890100000005000 0000000030001135   
0601OWA0N       20250101000895100000005000 0000000030001138   
0601OWA0N       20250101000900100000005000 0000000030001141   
0601OWA0N       20250101000905100000005000 0000000030001145   
0601OWA0N       20250101000910100000005000 0000000030001148   
0601OWA0N       20250101000915100000005000 0000000030001152   
0601OWA0N       20250101000920100000005000 0000000030001156   
0601OWA0N       20250101000925100000005000 0000000030001158   
0601OWA0N       20250101000930100000005000 0000000030001161   
0601OWA0N       20250101000935100000005000 0000000030001165   
0601OWA0N       20250101000940100000005000 0000000030001167   
0601OWA0N       20250101000945100000005000 0000000030001170   
0601OWA0N       20250101000950100000005000 0000000030001173   
0601OWA0N       20250101000955100000005000 0000000030001176   
0601OWA0N       20250101000960100000005000 0000000030001179   
0601OWA0N       20250101000965100000005000 0000000030001181   
0601OWA0N       20250101000970100000005000 0000000030001185   
0601OWA0N       20250101000975100000005000 0000000030001188   
0601OWA0N       20250101000980100000005000 0000000030001190   
0601OWA0N       20250101000985100000005000 0000000030001193   
0601OWA0N       20250101000990100000005000 0000000030001196   
0601OWA0N       20250101000995100000005000 0000000030001198   
0601OWA0N       20250101001000100000005000 0000000030001201   
0601OWA0N       20250101001005100000005000 0000000030001203   
0601OWA0N       20250101001010100000005000 0000000030001206   
0601OWA0N       20250101001015100000005000 0000000030001209   
0601OWA0N       20250101001020100000005000 0000000030001211   
0601OWA0N       20250101001025100000005000 0000000030001214   
0601OWA0N       20250101001030100000005000 0000000030001216   
0601OWA0N       20250101001035100000005000 0000000030001219   
0601OWA0N       20250101001040100000005000 0000000030001222   
0601OWA0N       20250101001045100000005000 0000000030001225   
0601OWA0N       20250101001050100000005000 0000000030001227   
0601OWA0N       20250101001055100000005000 0000000030001229   
0601OWA0N       20250101001060100000005000 0000000030001232   
0601OWA0N       20250101001065100000005000 0000000030001234   
0601OWA0N       20250101001070100000005000 0000000030001236   
0601OWA0N       20250101001075100000005000 0000000030001239   
0601OWA0N       20250101001080100000005000 0000000030001241   
0601OWA0N       20250101001085100000005000 0000000030001243   
0601OWA0N       20250101001090100000005000 0000000030001245   
0601OWA0N       20250101001095100000005000 0000000030001248   
0601OWA0N       20250101001100100000005000 0000000030001250   
0601OWA0N       20250101001105100000005000 0000000030001252   
0601OWA0N       20250101001110100000005000 0000000030001255   
0601OWA0N       20250101001115100000005000 0000000030001256   
0601OWA0N       20250101001120100000005000 0000000030001259   
0601OWA0N       20250101001125100000005000 0000000030001260   
0601OWA0N       20250101001130100000005000 0000000030001263   
0601OWA0N       20250101001135100000005000 0000000030001265   
0601OWA0N       20250101001140100000005000 0000000030001267   
0601OWA0N       20250101001145100000005000 0000000030001271   
0601OWA0N       20250101001150100000005000 0000000030001273   
0601OWA0N       20250101001155100000005000 0000000030001276   
0601OWA0N       20250101001160100000005000 0000000030001280   
0601OWA0N       20250101001165100000005000 0000000030001283   
0601OWA0N       20250101001170100000005000 0000000030001285   
0601OWA0N       20250101001175100000005000 0000000030001288   
0601OWA0N       20250101001180100000005000 0000000030001290   
0601OWA0N       20250101001185100000005000 0000000030001294   
0601OWA0N       20250101001190100000005000 0000000030001296   
0601OWA0N       20250101001195100000005000 0000000030001299   
0601OWA0N       20250101001200100000005000 0000000030001301   
0601OWA0N       20250101001205100000005000 0000000030001304   
0601OWA0N       20250101001210100000005000 0000000030001307   
0601OWA0N       20250101001215100000005000 0000000030001310   
0601OWA0N       20250101001220100000005000 0000000030001312   
0601OWA0N       20250101001225100000005000 0000000030001315   
0601OWA0N       20250101001230100000005000 0000000030001317   
0601OWA0N       20250101001235100000005000 0000000030001320   
0601OWA0N       20250101001240100000005000 0000000030001322   
0601OWA0N       20250101001245100000005000 0000000030001326   
0601OWA0N       20250101001250100000005000 0000000030001329   
0601OWA0N       20250101001255100000005000 0000000030001331   
0601OWA0N       20250101001260100000005000 0000000030001333   
0601OWA0N       20250101001265100000005000 0000000030001336   
0601OWA0N       20250101001270100000005000 0000000030001338   
0601OWA0N       20250101001275100000005000 0000000030001341   
0601OWA0N       20250101001280100000005000 0000000030001344   
0601OWA0N       20250101001285100000005000 0000000030001347   
0601OWA0N       20250101001290100000005000 0000000030001349   
0601OWA0N       20250101001295100000005000 0000000030001351   
0601OWA0N       20250101001300100000005000 0000000030001354   
0601OWA0N       20250101001305100000005000 0000000030001356   
0601OWA0N       20250101001310100000005000 0000000030001359   
0601OWA0N       20250101001315100000005000 0000000030001362   
0601OWA0N       20250101001320100000005000 0000000030001363   
0601OWA0N       20250101001325100000005000 0000000030001366   
0601OWA0N       20250101001330100000005000 0000000030001369   
0601OWA0N       20250101001335100000005000 0000000030001371   
0601OWA0N       20250101001340100000005000 0000000030001373   
0601OWA0N       20250101001345100000005000 0000000030001377   
0601OWA0N       20250101001350100000005000 0000000030001379   
0601OWA0N       20250101001355100000005000 0000000030001380   
0601OWA0N       20250101001360100000005000 0000000030001384   
0601OWA0N       20250101001365100000005000 0000000030001386   
0601OWA0N       20250101001370100000005000 0000000030001388   
0601OWA0N       20250101001375100000005000 0000000030001391   
0601OWA0N       20250101001380100000005000 0000000030001393   
0601OWA0N       20250101001385100000005000 0000000030001395   
0601OWA0N       20250101001390100000005000 0000000030001398   
0601OWA0N       20250101001395100000005000 0000000030001400   
0601OWA0N       20250101001400100000005000 0000000030001402   
0601OWA0N       20250101001405100000005000 0000000030001405   
0601OWA0N       20250101001410100000005000 0000000030001407   
0601OWA0N       20250101001415100000005000 0000000030001408   
0601OWA0N       20250101001420100000005000 0000000030001410   
0601OWA0N       20250101001425100000005000 0000000030001413   
0601OWA0N       20250101001430100000005000 0000000030001415   
0601OWA0N       20250101001435100000005000 0000000030001416   
0601OWA0N       20250101001440100000005000 0000000030001420   
0601OWA0N       20250101001445100000005000 0000000030001422   
0601OWA0N       20250101001450100000005000 0000000030001423   
0601OWA0N       20250101001455100000005000 0000000030001427   
0601OWA0N       20250101001460100000005000 0000000030001429   
0601OWA0N       20250101001465100000005000 0000000030001432   
0601OWA0N       20250101001470100000005000 0000000030001435   
0601OWA0N       20250101001475100000005000 0000000030001438   
0601OWA0N       20250101001480100000005000 0000000030001439   
0601OWA0N       20250101001485100000005000 0000000030001443   
0601OWA0N       20250101001490100000005000 0000000030001445   
0601OWA0N       20250101001495100000005000 0000000030001448   
0601OWA0N       20250101001500100000500000 0000000030001561   
0601OWA0N       20250101002000100000500000 0000000030001743   
0601OWA0N       20250101002500100000500000 0000000030001867   
0601OWA0N       20250101003000100000500000 0000000030001953   
0601OWA0N       20250101003500100000500000 0000000030002016   
0601OWA0N       20250101004000100000500000 0000000030002064   
0601OWA0N       20250101004500100000500000 0000000030002101   
0601OWA0N       20250101005000100000500000 0000000030002132   
0601OWA0N       20250101005500100000500000 0000000030002158   
0601OWA0N       20250101006000100000500000 0000000030002179   
0601OWA0N       20250101006500100000500000 0000000030002197   
0601OWA0N       20250101007000100000500000 0000000030002213   
0601OWA0N       20250101007500100000500000 0000000030002223   
0601OWA0N       20250101008000100000500000 0000000030002226   
0601OWA0N       20250101008500100000500000 0000000030002229   
0601OWA0N       20250101009000100000500000 0000000030002231   
0601OWA0N       20250101009500100000500000 0000000030002233   
0601OWA1N       20250101000000100000040000 0100000030000000   
0601OWA1N       20250101000040100000005000 0100000030000071   
0601OWA1N       20250101000045100000005000 0100000030000063   
0601OWA1N       20250101000050100000005000 0100000030000057   
0601OWA1N       20250101000055100000005000 0100000030000052   
0601OWA1N       20250101000060100000005000 0100000030000048   
0601OWA1N       20250101000065100000005000 0100000030000044   
0601OWA1N       20250101000070100000005000 0100000030000041   
0601OWA1N       20250101000075100000005000 0100000030000039   
0601OWA1N       20250101000080100000005000 0100000030000036   
0601OWA1N       20250101000085100000005000 0100000030000034   
0601OWA1N       20250101000090100000005000 0100000030000032   
0601OWA1N       20250101000095100000005000 0100000030000031   
0601OWA1N       20250101000100100000005000 0100000030000029   
0601OWA1N       20250101000105100000005000 0100000030000028   
0601OWA1N       20250101000110100000005000 0100000030000027   
0601OWA1N       20250101000115100000005000 0100000030000026   
0601OWA1N       20250101000120100000005000 0100000030000024   
0601OWA1N       20250101000125100000005000 0100000030000024   
0601OWA1N       20250101000130100000005000 0100000030000023   
0601OWA1N       20250101000135100000005000 0100000030000022   
0601OWA1N       20250101000140100000005000 0100000030000021   
0601OWA1N       20250101000145100000005000 0100000030000020   
0601OWA1N       20250101000150100000005000 0100000030000020   
0601OWA1N       20250101000155100000005000 0100000030000019   
0601OWA1N       20250101000160100000005000 0100000030000018   
0601OWA1N       20250101000165100000005000 0100000030000018   
0601OWA1N       20250101000170100000005000 0100000030000017   
0601OWA1N       20250101000175100000005000 0100000030000017   
0601OWA1N       20250101000180100000005000 0100000030000016   
0601OWA1N       20250101000185100000005000 0100000030000016   
0601OWA1N       20250101000190100000005000 0100000030000016   
0601OWA1N       20250101000195100000005000 0100000030000015   
0601OWA1N       20250101000200100000005000 0100000030000015   
0601OWA1N       20250101000205100000005000 0100000030000014   
0601OWA1N       20250101000210100000005000 0100000030000014   
0601OWA1N       20250101000215100000005000 0100000030000014   
0601OWA1N       20250101000220100000005000 0100000030000013   
0601OWA1N       20250101000225100000005000 0100000030000013   
0601OWA1N       20250101000230100000005000 0100000030000013   
0601OWA1N       20250101000235100000005000 0100000030000013   
0601OWA1N       20250101000240100000005000 0100000030000012   
0601OWA1N       20250101000245100000005000 0100000030000012   
0601OWA1N       20250101000250100000005000 0100000030000012   
0601OWA1N       20250101000255100000005000 0100000030000012   
0601OWA1N       20250101000260100000005000 0100000030000011   
0601OWA1N       20250101000265100000005000 0100000030000022   
0601OWA1N       20250101000270100000005000 0100000030000044   
0601OWA1N       20250101000275100000005000 0100000030000068   
0601OWA1N       20250101000280100000005000 0100000030000092   
0601OWA1N       20250101000285100000005000 0100000030000111   
0601OWA1N       20250101000290100000005000 0100000030000133   
0601OWA1N       20250101000295100000005000 0100000030000155   
0601OWA1N       20250101000300100000005000 0100000030000175   
0601OWA1N       20250101000305100000005000 0100000030000192   
0601OWA1N       20250101000310100000005000 0100000030000211   
0601OWA1N       20250101000315100000005000 0100000030000230   
0601OWA1N       20250101000320100000005000 0100000030000251   
0601OWA1N       20250101000325100000005000 0100000030000269   
0601OWA1N       20250101000330100000005000 0100000030000289   
0601OWA1N       20250101000335100000005000 0100000030000305   
0601OWA1N       20250101000340100000005000 0100000030000318   
0601OWA1N       20250101000345100000005000 0100000030000337   
0601OWA1N       20250101000350100000005000 0100000030000352   
0601OWA1N       20250101000355100000005000 0100000030000364   
0601OWA1N       20250101000360100000005000 0100000030000381   
0601OWA1N       20250101000365100000005000 0100000030000395   
0601OWA1N       20250101000370100000005000 0100000030000411   
0601OWA1N       20250101000375100000005000 0100000030000421   
0601OWA1N       20250101000380100000005000 0100000030000434   
0601OWA1N       20250101000385100000005000 0100000030000449   
0601OWA1N       20250101000390100000005000 0100000030000459   
0601OWA1N       20250101000395100000005000 0100000030000470   
0601OWA1N       20250101000400100000005000 0100000030000482   
0601OWA1N       20250101000405100000005000 0100000030000496   
0601OWA1N       20250101000410100000005000 0100000030000504   
0601OWA1N       20250101000415100000005000 0100000030000515   
0601OWA1N       20250101000420100000005000 0100000030000528   
0601OWA1N       20250101000425100000005000 0100000030000536   
0601OWA1N       20250101000430100000005000 0100000030000546   
0601OWA1N       20250101000435100000005000 0100000030000558   
0601OWA1N       20250101000440100000005000 0100000030000567   
0601OWA1N       20250101000445100000005000 0100000030000574   
0601OWA1N       20250101000450100000005000 0100000030000586   
0601OWA1N       20250101000455100000005000 0100000030000595   
0601OWA1N       20250101000460100000005000 0100000030000601   
0601OWA1N       20250101000465100000005000 0100000030000612   
0601OWA1N       20250101000470100000005000 0100000030000620   
0601OWA1N       20250101000475100000005000 0100000030000630   
0601OWA1N       20250101000480100000005000 0100000030000636   
0601OWA1N       20250101000485100000005000 0100000030000644   
0601OWA1N       20250101000490100000005000 0100000030000654   
0601OWA1N       20250101000495100000005000 0100000030000661   
0601OWA1N       20250101000500100000005000 0100000030000669   
0601OWA1N       20250101000505100000005000 0100000030000676   
0601OWA1N       20250101000510100000005000 0100000030000683   
0601OWA1N       20250101000515100000005000 0100000030000690   
0601OWA1N       20250101000520100000005000 0100000030000697   
0601OWA1N       20250101000525100000005000 0100000030000705   
0601OWA1N       20250101000530100000005000 0100000030000712   
0601OWA1N       20250101000535100000005000 0100000030000716   
0601OWA1N       20250101000540100000005000 0100000030000724   
0601OWA1N       20250101000545100000005000 0100000030000731   
0601OWA1N       20250101000550100000005000 0100000030000735   
0601OWA1N       20250101000555100000005000 0100000030000743   
0601OWA1N       20250101000560100000005000 0100000030000747   
0601OWA1N       20250101000565100000005000 0100000030000752   
0601OWA1N       20250101000570100000005000 0100000030000758   
0601OWA1N       20250101000575100000005000 0100000030000765   
0601OWA1N       20250101000580100000005000 0100000030000771   
0601OWA1N       20250101000585100000005000 0100000030000776   
0601OWA1N       20250101000590100000005000 0100000030000781   
0601OWA1N       20250101000595100000005000 0100000030000787   
0601OWA1N       20250101000600100000005000 0100000030000793   
0601OWA1N       20250101000605100000005000 0100000030000798   
0601OWA1N       20250101000610100000005000 0100000030000803   
0601OWA1N       20250101000615100000005000 0100000030000808   
0601OWA1N       20250101000620100000005000 0100000030000813   
0601OWA1N       20250101000625100000005000 0100000030000819   
0601OWA1N       20250101000630100000005000 0100000030000824   
0601OWA1N       20250101000635100000005000 0100000030000828   
0601OWA1N       20250101000640100000005000 0100000030000833   
0601OWA1N       20250101000645100000005000 0100000030000837   
0601OWA1N       20250101000650100000005000 0100000030000843   
0601OWA1N       20250101000655100000005000 0100000030000847   
0601OWA1N       20250101000660100000005000 0100000030000851   
0601OWA1N       20250101000665100000005000 0100000030000855   
0601OWA1N       20250101000670100000005000 0100000030000859   
0601OWA1N       20250101000675100000005000 0100000030000865   
0601OWA1N       20250101000680100000005000 0100000030000869   
0601OWA1N       20250101000685100000005000 0100000030000873   
0601OWA1N       20250101000690100000005000 0100000030000877   
0601OWA1N       20250101000695100000005000 0100000030000880   
0601OWA1N       20250101000700100000005000 0100000030000884   
0601OWA1N       20250101000705100000005000 0100000030000888   
0601OWA1N       20250101000710100000005000 0100000030000891   
0601OWA1N       20250101000715100000005000 0100000030000895   
0601OWA1N       20250101000720100000005000 0100000030000898   
0601OWA1N       20250101000725100000005000 0100000030000902   
0601OWA1N       20250101000730100000005000 0100000030000906   
0601OWA1N       20250101000735100000005000 0100000030000910   
0601OWA1N       20250101000740100000005000 0100000030000913   
0601OWA1N       20250101000745100000005000 0100000030000916   
0601OWA1N       20250101000750100000005000 0100000030000920   
0601OWA1N       20250101000755100000005000 0100000030000923   
0601OWA1N       20250101000760100000005000 0100000030000926   
0601OWA1N       20250101000765100000005000 0100000030000929   
0601OWA1N       20250101000770100000005000 0100000030000933   
0601OWA1N       20250101000775100000005000 0100000030000936   
0601OWA1N       20250101000780100000005000 0100000030000939   
0601OWA1N       20250101000785100000005000 0100000030000943   
0601OWA1N       20250101000790100000005000 0100000030000948   
0601OWA1N       20250101000795100000005000 0100000030000950   
0601OWA1N       20250101000800100000005000 0100000030000953   
0601OWA1N       20250101000805100000005000 0100000030000956   
0601OWA1N       20250101000810100000005000 0100000030000959   
0601OWA1N       20250101000815100000005000 0100000030000961   
0601OWA1N       20250101000820100000005000 0100000030000964   
0601OWA1N       20250101000825100000005000 0100000030000967   
0601OWA1N       20250101000830100000005000 0100000030000971   
0601OWA1N       20250101000835100000005000 0100000030000973   
0601OWA1N       20250101000840100000005000 0100000030000976   
0601OWA1N       20250101000845100000005000 0100000030000978   
0601OWA1N       20250101000850100000005000 0100000030000981   
0601OWA1N       20250101000855100000005000 0100000030000983   
0601OWA1N       20250101000860100000005000 0100000030000986   
0601OWA1N       20250101000865100000005000 0100000030000988   
0601OWA1N       20250101000870100000005000 0100000030000991   
0601OWA1N       20250101000875100000005000 0100000030000994   
0601OWA1N       20250101000880100000005000 0100000030000996   
0601OWA1N       20250101000885100000005000 0100000030000998   
0601OWA1N       20250101000890100000005000 0100000030001001   
0601OWA1N       20250101000895100000005000 0100000030001005   
0601OWA1N       20250101000900100000005000 0100000030001008   
0601OWA1N       20250101000905100000005000 0100000030001012   
0601OWA1N       20250101000910100000005000 0100000030001017   
0601OWA1N       20250101000915100000005000 0100000030001020   
0601OWA1N       20250101000920100000005000 0100000030001024   
0601OWA1N       20250101000925100000005000 0100000030001027   
0601OWA1N       20250101000930100000005000 0100000030001031   
0601OWA1N       20250101000935100000005000 0100000030001035   
0601OWA1N       20250101000940100000005000 0100000030001038   
0601OWA1N       20250101000945100000005000 0100000030001041   
0601OWA1N       20250101000950100000005000 0100000030001045   
0601OWA1N       20250101000955100000005000 0100000030001049   
0601OWA1N       20250101000960100000005000 0100000030001051   
0601OWA1N       20250101000965100000005000 0100000030001055   
0601OWA1N       20250101000970100000005000 0100000030001058   
0601OWA1N       20250101000975100000005000 0100000030001062   
0601OWA1N       20250101000980100000005000 0100000030001066   
0601OWA1N       20250101000985100000005000 0100000030001068   
0601OWA1N       20250101000990100000005000 0100000030001072   
0601OWA1N       20250101000995100000005000 0100000030001076   
0601OWA1N       20250101001000100000005000 0100000030001078   
0601OWA1N       20250101001005100000005000 0100000030001082   
0601OWA1N       20250101001010100000005000 0100000030001085   
0601OWA1N       20250101001015100000005000 0100000030001088   
0601OWA1N       20250101001020100000005000 0100000030001091   
0601OWA1N       20250101001025100000005000 0100000030001094   
0601OWA1N       20250101001030100000005000 0100000030001097   
0601OWA1N       20250101001035100000005000 0100000030001102   
0601OWA1N       20250101001040100000005000 0100000030001105   
0601OWA1N       20250101001045100000005000 0100000030001107   
0601OWA1N       20250101001050100000005000 0100000030001111   
0601OWA1N       20250101001055100000005000 0100000030001113   
0601OWA1N       20250101001060100000005000 0100000030001116   
0601OWA1N       20250101001065100000005000 0100000030001119   
0601OWA1N       20250101001070100000005000 0100000030001122   
0601OWA1N       20250101001075100000005000 0100000030001125   
0601OWA1N       20250101001080100000005000 0100000030001128   
0601OWA1N       20250101001085100000005000 0100000030001130   
0601OWA1N       20250101001090100000005000 0100000030001133   
0601OWA1N       20250101001095100000005000 0100000030001136   
0601OWA1N       20250101001100100000005000 0100000030001139   
0601OWA1N       20250101001105100000005000 0100000030001141   
0601OWA1N       20250101001110100000005000 0100000030001144   
0601OWA1N       20250101001115100000005000 0100000030001147   
0601OWA1N       20250101001120100000005000 0100000030001149   
0601OWA1N       20250101001125100000005000 0100000030001152   
0601OWA1N       20250101001130100000005000 0100000030001155   
0601OWA1N       20250101001135100000005000 0100000030001158   
0601OWA1N       20250101001140100000005000 0100000030001160   
0601OWA1N       20250101001145100000005000 0100000030001163   
0601OWA1N       20250101001150100000005000 0100000030001165   
0601OWA1N       20250101001155100000005000 0100000030001167   
0601OWA1N       20250101001160100000005000 0100000030001172   
0601OWA1N       20250101001165100000005000 0100000030001173   
